objectID,hex,hue,objectBeginDate,culture,department,medium,objectName,imageUrl
7361,#a8a2b2,262.5,1850,American,The American Wing,"Free-blown colorless and opaque white, blue and red glass",Seal,https://images.metmuseum.org/CRDImages/ad/web-large/ADA5419.jpg
7145,#dfdfde,60.0,1857,American,The American Wing,Blown glass,Sauce dish,https://images.metmuseum.org/CRDImages/ad/web-large/DP234605.jpg
7552,#d4e2f7,216.0,1857,American,The American Wing,"Maple, brass",Slipper chair,https://images.metmuseum.org/CRDImages/ad/web-large/ADA4724.jpg
2263,#dbdbdb,0.0,1865,American,The American Wing,Pressed glass,Cordial glass,https://images.metmuseum.org/CRDImages/ad/web-large/DP235373.jpg
7338,#6e6e6e,0.0,1870,British (American Market),The American Wing,Cameo opaque white and yellow glass,Scent bottle,https://images.metmuseum.org/CRDImages/ad/web-large/178950.jpg
2691,#2c2116,30.0,1873,American,The American Wing,Porcelain,Cream pot,https://images.metmuseum.org/CRDImages/ad/web-large/DP223044.jpg
4262,#929292,0.0,1880,,The American Wing,Pressed purple marble glass,Figure,https://images.metmuseum.org/CRDImages/ad/web-large/182111.jpg
567,#9c9c9c,0.0,1881,American,The American Wing,Earthenware,Tile,https://images.metmuseum.org/CRDImages/ad/web-large/196484.jpg
5884,#c9881c,37.5,1882,American or British,The American Wing,Blown satin pink glass,Pitcher,https://images.metmuseum.org/CRDImages/ad/web-large/DP241058.jpg
1228,#d7d4cf,37.5,1889,American,The American Wing,White metal,Medal,https://images.metmuseum.org/CRDImages/ad/web-large/AW_07_251_29-001.jpg
5594,#3f200f,21.2,1890,American,The American Wing,"Gold, agate, yellow sapphires, demantoid garnets, red garnets, and amethyst",Perfume bottle,https://images.metmuseum.org/CRDImages/ad/web-large/ADA4653.jpg
5623,#f4f4f4,0.0,1897,American,The American Wing,"Mahogany, red pine",Pier table,https://images.metmuseum.org/CRDImages/ad/web-large/41761.jpg
